jobTitle,company,location,experience,salary,jobLink,skills
Teradata Data Analyst,Persistent,"Hyderabad, Bengaluru",8-13 Yrs,Not disclosed,https://www.naukri.com/job-listings-teradata-data-analyst-persistent-hyderabad-bengaluru-8-to-13-years-291024008682,"Teradata, PLSQL, ETL, Data analysis, Data"
Data Analyst,Bm2k Global,Noida,5-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-bm2k-global-noida-5-to-8-years-161024018105,"Power Bi, SQL Database, Data Analytics, Yardi, MRI, Data Extraction, Data Cleansing, property management tools"
Data Analyst,Peridot System,"Pune, Bengaluru, Delhi / NCR",0-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-peridot-system-pune-bengaluru-delhi-ncr-0-to-5-years-201124910684,"Data Analyst, python, data analysis, data science, data cleaning, data mining, web technologies, machine learning"
Data Analyst,Viaprom Technologies,Kolkata,4-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-viaprom-technologies-pvt-ltd-kolkata-4-to-5-years-031224922067,"Data Analysis, Matplotlib, data manipulation, Pandas, Plotly, Advanced Excel, Seaborn, NumPy"
Data Analyst,Viaprom Technologies,Kolkata,4-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-viaprom-technologies-pvt-ltd-kolkata-4-to-5-years-021224902899,"Data analysis, Pandas, Advanced Excel, Numpy, Python, SQL, Excel, Analysis"
Google Cloud Platform Data Analyst,Adtcore,Hyderabad,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-google-cloud-platform-data-analyst-adtcore-hyderabad-2-to-5-years-021224500325,"Mining, Translation, data science, Data modeling, RDBMS, Consulting, Cloud, Data Analyst"
Opening For Data Analyst,Chargeback Gurus,Chennai,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-opening-for-data-analyst-chargeback-gurus-chennai-3-to-5-years-281124006314,"VBA, Quicksight, SQL, Python, Arcgis, Excel, Power Bi, Advanced Excel"
Data Analyst,Max Transtech Limited,Gurugram,5-8 Yrs,5-7 Lacs PA,https://www.naukri.com/job-listings-data-analyst-max-transtech-limited-gurugram-5-to-8-years-281124006169,"Data Analytics, Oracle SQL, Data Interpretation, Data Management, Data Visualization, SQL, Python, Data analysis"
Data Analyst,Dantechdentallab,Chennai,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-dantechdentallab-chennai-2-to-4-years-031224505975,"PDF, Excel, power bi, Data Analyst, Data, Bi, Data analysis"
Data Analyst,Armanino,Ahmedabad,1-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-armanino-llp-ahmedabad-1-to-3-years-031224505555,"Computer science, Business consulting, data science, Networking, Analytical, Data quality, Data Analyst, Medical insurance"
Data Analyst 3,Comcast,Chennai,5-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-3-comcast-chennai-5-to-7-years-031224504163,"Software testing, operational support, Machine learning, Project planning, Data quality, Business strategy, Business intelligence, Analytics"
Data Analyst,Euclid Innovations,Mumbai,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-euclid-innovations-pvt-ltd-mumbai-3-to-5-years-031224503562,"Computer science, Performance tuning, Data analysis, Analytical, query, Data Analyst, Apache, SQL"
Data Analyst,Naga,Chennai,3-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-naga-chennai-3-to-8-years-031224020209,"Power Bi, Data Analysis, Advanced Excel, Data, Bi, Excel, Analysis"
